movie_title,genre_type
The Legend of Tarzan,Action
The Legend of Tarzan,Adventure
The Legend of Tarzan,Drama
The Legend of Tarzan,Romance
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Family
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Fantasy
X-Men: Apocalypse,Action
X-Men: Apocalypse,Adventure
X-Men: Apocalypse,Sci-Fi
The Dark Knight,Action
The Dark Knight,Crime
The Dark Knight,Drama
The Dark Knight,Thriller
Up,Adventure
Up,Animation
Up,Comedy
Up,Family
Monsters vs. Aliens,Action
Monsters vs. Aliens,Adventure
Monsters vs. Aliens,Animation
Monsters vs. Aliens,Comedy
Monsters vs. Aliens,Family
Monsters vs. Aliens,Sci-Fi
Iron Man,Action
Iron Man,Adventure
Iron Man,Sci-Fi
Hugo,Adventure
Hugo,Drama
Hugo,Family
Hugo,Mystery
Wild Wild West,Action
Wild Wild West,Comedy
Wild Wild West,Sci-Fi
Wild Wild West,Western
The Mummy: Tomb of the Dragon Emperor,Action
The Mummy: Tomb of the Dragon Emperor,Adventure
The Mummy: Tomb of the Dragon Emperor,Fantasy
The Mummy: Tomb of the Dragon Emperor,Horror
The Mummy: Tomb of the Dragon Emperor,Thriller
Suicide Squad,Action
Suicide Squad,Adventure
Suicide Squad,Comedy
Suicide Squad,Sci-Fi
Evan Almighty,Comedy
Evan Almighty,Family
Evan Almighty,Fantasy
Edge of Tomorrow,Action
Edge of Tomorrow,Adventure
Edge of Tomorrow,Sci-Fi
Waterworld,Action
Waterworld,Adventure
Waterworld,Sci-Fi
Waterworld,Thriller
G.I. Joe: The Rise of Cobra,Action
G.I. Joe: The Rise of Cobra,Adventure
G.I. Joe: The Rise of Cobra,Sci-Fi
G.I. Joe: The Rise of Cobra,Thriller
Inside Out,Adventure
Inside Out,Animation
Inside Out,Comedy
Inside Out,Drama
Inside Out,Family
Inside Out,Fantasy
The Jungle Book,Adventure
The Jungle Book,Drama
The Jungle Book,Family
The Jungle Book,Fantasy
Iron Man 2,Action
Iron Man 2,Adventure
Iron Man 2,Sci-Fi
Snow White and the Huntsman,Action
Snow White and the Huntsman,Adventure
Snow White and the Huntsman,Drama
Snow White and the Huntsman,Fantasy
Maleficent,Action
Maleficent,Adventure
Maleficent,Family
Maleficent,Fantasy
Maleficent,Romance
Dawn of the Planet of the Apes,Action
Dawn of the Planet of the Apes,Adventure
Dawn of the Planet of the Apes,Drama
Dawn of the Planet of the Apes,Sci-Fi
The Lovers,Action
The Lovers,Adventure
The Lovers,Romance
The Lovers,Sci-Fi
47 Ronin,Action
47 Ronin,Adventure
47 Ronin,Drama
47 Ronin,Fantasy
Captain America: The Winter Soldier,Action
Captain America: The Winter Soldier,Adventure
Captain America: The Winter Soldier,Sci-Fi
Shrek Forever After,Adventure
Shrek Forever After,Animation
Shrek Forever After,Comedy
Shrek Forever After,Family
Shrek Forever After,Fantasy
Tomorrowland,Action
Tomorrowland,Adventure
Tomorrowland,Family
Tomorrowland,Mystery
Tomorrowland,Sci-Fi
Big Hero 6,Action
Big Hero 6,Adventure
Big Hero 6,Animation
Big Hero 6,Comedy
Big Hero 6,Drama
Big Hero 6,Family
Big Hero 6,Sci-Fi
Wreck-It Ralph,Adventure
Wreck-It Ralph,Animation
Wreck-It Ralph,Comedy
Wreck-It Ralph,Family
Wreck-It Ralph,Sci-Fi
The Polar Express,Adventure
The Polar Express,Animation
The Polar Express,Family
The Polar Express,Fantasy
Independence Day: Resurgence,Action
Independence Day: Resurgence,Adventure
Independence Day: Resurgence,Sci-Fi
How to Train Your Dragon,Adventure
How to Train Your Dragon,Animation
How to Train Your Dragon,Family
How to Train Your Dragon,Fantasy
Terminator 3: Rise of the Machines,Action
Terminator 3: Rise of the Machines,Sci-Fi
Guardians of the Galaxy,Action
Guardians of the Galaxy,Adventure
Guardians of the Galaxy,Sci-Fi
Interstellar,Adventure
Interstellar,Drama
Interstellar,Sci-Fi
Inception,Action
Inception,Adventure
Inception,Sci-Fi
Inception,Thriller
The Hobbit: An Unexpected Journey,Adventure
The Hobbit: An Unexpected Journey,Fantasy
The Fast and the Furious,Action
The Fast and the Furious,Crime
The Fast and the Furious,Thriller
The Curious Case of Benjamin Button,Drama
The Curious Case of Benjamin Button,Fantasy
The Curious Case of Benjamin Button,Romance
X-Men: First Class,Action
X-Men: First Class,Adventure
X-Men: First Class,Sci-Fi
The Hunger Games: Mockingjay - Part 2,Adventure
The Hunger Games: Mockingjay - Part 2,Sci-Fi
The Sorcerer's Apprentice,Action
The Sorcerer's Apprentice,Adventure
The Sorcerer's Apprentice,Family
The Sorcerer's Apprentice,Fantasy
Poseidon,Action
Poseidon,Adventure
Poseidon,Drama
Poseidon,Thriller
Alice Through the Looking Glass,Adventure
Alice Through the Looking Glass,Family
Alice Through the Looking Glass,Fantasy
Shrek the Third,Adventure
Shrek the Third,Animation
Shrek the Third,Comedy
Shrek the Third,Family
Shrek the Third,Fantasy
Warcraft,Action
Warcraft,Adventure
Warcraft,Fantasy
Terminator Genisys,Action
Terminator Genisys,Adventure
Terminator Genisys,Sci-Fi
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure
The Chronicles of Narnia: The Voyage of the Dawn Treader,Family
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fantasy
Pearl Harbor,Action
Pearl Harbor,Drama
Pearl Harbor,History
Pearl Harbor,Romance
Pearl Harbor,War
Transformers,Action
Transformers,Adventure
Transformers,Sci-Fi
Alexander,Action
Alexander,Adventure
Alexander,Biography
Alexander,Drama
Alexander,History
Alexander,Romance
Alexander,War
Harry Potter and the Order of the Phoenix,Adventure
Harry Potter and the Order of the Phoenix,Family
Harry Potter and the Order of the Phoenix,Fantasy
Harry Potter and the Order of the Phoenix,Mystery
Harry Potter and the Goblet of Fire,Adventure
Harry Potter and the Goblet of Fire,Family
Harry Potter and the Goblet of Fire,Fantasy
Harry Potter and the Goblet of Fire,Mystery
Hancock,Action
Hancock,Drama
I Am Legend,Drama
I Am Legend,Horror
I Am Legend,Sci-Fi
Charlie and the Chocolate Factory,Adventure
Charlie and the Chocolate Factory,Comedy
Charlie and the Chocolate Factory,Family
Charlie and the Chocolate Factory,Fantasy
Ratatouille,Animation
Ratatouille,Comedy
Ratatouille,Family
Ratatouille,Fantasy
Batman Begins,Action
Batman Begins,Adventure
Madagascar: Escape 2 Africa,Action
Madagascar: Escape 2 Africa,Adventure
Madagascar: Escape 2 Africa,Animation
Madagascar: Escape 2 Africa,Comedy
Madagascar: Escape 2 Africa,Family
Night at the Museum: Battle of the Smithsonian,Adventure
Night at the Museum: Battle of the Smithsonian,Comedy
Night at the Museum: Battle of the Smithsonian,Family
Night at the Museum: Battle of the Smithsonian,Fantasy
X-Men Origins: Wolverine,Action
X-Men Origins: Wolverine,Adventure
X-Men Origins: Wolverine,Fantasy
X-Men Origins: Wolverine,Sci-Fi
X-Men Origins: Wolverine,Thriller
The Matrix Revolutions,Action
The Matrix Revolutions,Sci-Fi
Frozen,Adventure
Frozen,Animation
Frozen,Comedy
Frozen,Family
Frozen,Fantasy
Frozen,Musical
The Matrix Reloaded,Action
The Matrix Reloaded,Sci-Fi
Thor: The Dark World,Action
Thor: The Dark World,Adventure
Thor: The Dark World,Fantasy
Mad Max: Fury Road,Action
Mad Max: Fury Road,Adventure
Mad Max: Fury Road,Sci-Fi
Mad Max: Fury Road,Thriller
Angels & Demons,Mystery
Angels & Demons,Thriller
Thor,Action
Thor,Adventure
Thor,Fantasy
Bolt,Adventure
Bolt,Animation
Bolt,Comedy
Bolt,Drama
Bolt,Family
G-Force,Action
G-Force,Adventure
G-Force,Animation
G-Force,Comedy
G-Force,Family
G-Force,Fantasy
G-Force,Sci-Fi
Wrath of the Titans,Action
Wrath of the Titans,Adventure
Wrath of the Titans,Fantasy
Dark Shadows,Comedy
Dark Shadows,Fantasy
Dark Shadows,Horror
Mission: Impossible - Rogue Nation,Action
Mission: Impossible - Rogue Nation,Adventure
Mission: Impossible - Rogue Nation,Thriller
The Wolfman,Drama
The Wolfman,Fantasy
The Wolfman,Horror
The Wolfman,Thriller
Bee Movie,Adventure
Bee Movie,Animation
Bee Movie,Comedy
Bee Movie,Family
Kung Fu Panda 2,Action
Kung Fu Panda 2,Adventure
Kung Fu Panda 2,Animation
Kung Fu Panda 2,Comedy
Kung Fu Panda 2,Family
The Last Airbender,Action
The Last Airbender,Adventure
The Last Airbender,Family
The Last Airbender,Fantasy
Mission: Impossible III,Action
Mission: Impossible III,Adventure
Mission: Impossible III,Thriller
White House Down,Action
White House Down,Drama
White House Down,Thriller
Mars Needs Moms,Action
Mars Needs Moms,Adventure
Mars Needs Moms,Animation
Mars Needs Moms,Comedy
Mars Needs Moms,Family
Mars Needs Moms,Sci-Fi
Flushed Away,Adventure
Flushed Away,Animation
Flushed Away,Comedy
Flushed Away,Family
Pan,Adventure
Pan,Family
Pan,Fantasy
Mr. Peabody & Sherman,Adventure
Mr. Peabody & Sherman,Animation
Mr. Peabody & Sherman,Comedy
Mr. Peabody & Sherman,Family
Mr. Peabody & Sherman,Sci-Fi
Troy,Adventure
Madagascar 3: Europe's Most Wanted,Adventure
Madagascar 3: Europe's Most Wanted,Animation
Madagascar 3: Europe's Most Wanted,Comedy
Madagascar 3: Europe's Most Wanted,Family
Die Another Day,Action
Die Another Day,Adventure
Die Another Day,Thriller
Ghostbusters,Action
Ghostbusters,Comedy
Ghostbusters,Fantasy
Ghostbusters,Sci-Fi
Armageddon,Action
Armageddon,Adventure
Armageddon,Sci-Fi
Armageddon,Thriller
Men in Black II,Action
Men in Black II,Adventure
Men in Black II,Comedy
Men in Black II,Family
Men in Black II,Fantasy
Men in Black II,Mystery
Men in Black II,Sci-Fi
Beowulf,Action
Beowulf,Adventure
Beowulf,Animation
Beowulf,Fantasy
Kung Fu Panda 3,Action
Kung Fu Panda 3,Adventure
Kung Fu Panda 3,Animation
Kung Fu Panda 3,Comedy
Kung Fu Panda 3,Family
Mission: Impossible - Ghost Protocol,Action
Mission: Impossible - Ghost Protocol,Adventure
Mission: Impossible - Ghost Protocol,Thriller
Rise of the Guardians,Adventure
Rise of the Guardians,Animation
Rise of the Guardians,Family
Rise of the Guardians,Fantasy
Fun with Dick and Jane,Comedy
Fun with Dick and Jane,Crime
The Last Samurai,Action
The Last Samurai,Drama
The Last Samurai,History
The Last Samurai,War
Exodus: Gods and Kings,Action
Exodus: Gods and Kings,Adventure
Exodus: Gods and Kings,Drama
Star Trek,Action
Star Trek,Adventure
Star Trek,Sci-Fi
Spider-Man,Action
Spider-Man,Adventure
Spider-Man,Fantasy
Spider-Man,Romance
How to Train Your Dragon 2,Action
How to Train Your Dragon 2,Adventure
How to Train Your Dragon 2,Animation
How to Train Your Dragon 2,Comedy
How to Train Your Dragon 2,Family
How to Train Your Dragon 2,Fantasy
Gods of Egypt,Action
Gods of Egypt,Adventure
Gods of Egypt,Fantasy
Stealth,Action
Stealth,Adventure
Stealth,Sci-Fi
Stealth,Thriller
Watchmen,Action
Watchmen,Drama
Watchmen,Mystery
Watchmen,Sci-Fi
Lethal Weapon 4,Action
Lethal Weapon 4,Crime
Lethal Weapon 4,Thriller
Hulk,Action
Hulk,Sci-Fi
G.I. Joe: Retaliation,Action
G.I. Joe: Retaliation,Adventure
G.I. Joe: Retaliation,Sci-Fi
G.I. Joe: Retaliation,Thriller
Sahara,Action
Sahara,Adventure
Sahara,Comedy
Sahara,Thriller
Final Fantasy: The Spirits Within,Action
Final Fantasy: The Spirits Within,Adventure
Final Fantasy: The Spirits Within,Animation
Final Fantasy: The Spirits Within,Fantasy
Final Fantasy: The Spirits Within,Romance
Final Fantasy: The Spirits Within,Sci-Fi
Captain America: The First Avenger,Action
