movie_title,actor_name
The Good Dinosaur,Peter Sohn
Brave,Kelly Macdonald
Brave,John Ratzenberger
Brave,Julie Walters
Star Trek Beyond,Sofia Boutella
Star Trek Beyond,Melissa Roxburgh
Star Trek Beyond,Lydia Wilson
WALL·E,John Ratzenberger
WALL·E,Fred Willard
WALL·E,Jeff Garlin
Rush Hour 3,Tzi Ma
Rush Hour 3,Dana Ivey
Rush Hour 3,Noémie Lenoir
2012,Oliver Platt
2012,Liam James
2012,Tom McCarthy
A Christmas Carol,Robin Wright
A Christmas Carol,Colin Firth
A Christmas Carol,Gary Oldman
Jupiter Ascending,Channing Tatum
Jupiter Ascending,Mila Kunis
Jupiter Ascending,Eddie Redmayne
The Legend of Tarzan,Christoph Waltz
The Legend of Tarzan,Alexander Skarsgård
The Legend of Tarzan,Casper Crump
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Jim Broadbent
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Kiran Shah
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Shane Rangi
X-Men: Apocalypse,Jennifer Lawrence
X-Men: Apocalypse,Michael Fassbender
X-Men: Apocalypse,Tye Sheridan
The Dark Knight,Christian Bale
The Dark Knight,Heath Ledger
The Dark Knight,Morgan Freeman
Up,John Ratzenberger
Up,Delroy Lindo
Up,Jess Harnell
Monsters vs. Aliens,Amy Poehler
Monsters vs. Aliens,Rainn Wilson
Monsters vs. Aliens,Stephen Colbert
Iron Man,Robert Downey Jr.
Iron Man,Jeff Bridges
Iron Man,Jon Favreau
Hugo,Chloë Grace Moretz
Hugo,Christopher Lee
Hugo,Ray Winstone
Wild Wild West,Will Smith
Wild Wild West,Salma Hayek
Wild Wild West,Bai Ling
The Mummy: Tomb of the Dragon Emperor,Jet Li
The Mummy: Tomb of the Dragon Emperor,Brendan Fraser
The Mummy: Tomb of the Dragon Emperor,Russell Wong
Suicide Squad,Will Smith
Suicide Squad,Robin Atkin Downes
Suicide Squad,Ike Barinholtz
Evan Almighty,Jimmy Bennett
Evan Almighty,Morgan Freeman
Evan Almighty,Steve Carell
Edge of Tomorrow,Tom Cruise
Edge of Tomorrow,Lara Pulver
Edge of Tomorrow,Noah Taylor
Waterworld,Jeanne Tripplehorn
Waterworld,Rick Aviles
Waterworld,Zakes Mokae
G.I. Joe: The Rise of Cobra,Joseph Gordon-Levitt
G.I. Joe: The Rise of Cobra,Dennis Quaid
G.I. Joe: The Rise of Cobra,Leo Howard
Inside Out,Amy Poehler
Inside Out,Mindy Kaling
Inside Out,Phyllis Smith
The Jungle Book,Scarlett Johansson
The Jungle Book,Bill Murray
The Jungle Book,Garry Shandling
Iron Man 2,Robert Downey Jr.
Iron Man 2,Scarlett Johansson
Iron Man 2,Jon Favreau
Snow White and the Huntsman,Chris Hemsworth
Snow White and the Huntsman,Kristen Stewart
Snow White and the Huntsman,Sam Claflin
Maleficent,Angelina Jolie Pitt
Maleficent,Sharlto Copley
Maleficent,Sam Riley
Dawn of the Planet of the Apes,Gary Oldman
Dawn of the Planet of the Apes,Judy Greer
Dawn of the Planet of the Apes,Kodi Smit-McPhee
The Lovers,Tamsin Egerton
The Lovers,Alice Englert
The Lovers,Bipasha Basu
47 Ronin,Keanu Reeves
47 Ronin,Cary-Hiroyuki Tagawa
47 Ronin,Jin Akanishi
Captain America: The Winter Soldier,Scarlett Johansson
Captain America: The Winter Soldier,Chris Evans
Captain America: The Winter Soldier,Hayley Atwell
Shrek Forever After,Jon Hamm
Shrek Forever After,Kathy Griffin
Shrek Forever After,Mary Kay Place
Tomorrowland,Judy Greer
Tomorrowland,Chris Bauer
Tomorrowland,Thomas Robinson
Big Hero 6,Damon Wayans Jr.
Big Hero 6,Daniel Henney
Big Hero 6,Abraham Benrubi
Wreck-It Ralph,Jack McBrayer
Wreck-It Ralph,Sarah Silverman
Wreck-It Ralph,Joe Lo Truglio
The Polar Express,Tom Hanks
The Polar Express,Eddie Deezen
The Polar Express,Peter Scolari
Independence Day: Resurgence,Vivica A. Fox
Independence Day: Resurgence,Sela Ward
Independence Day: Resurgence,Judd Hirsch
How to Train Your Dragon,Gerard Butler
How to Train Your Dragon,America Ferrera
How to Train Your Dragon,Craig Ferguson
Terminator 3: Rise of the Machines,Nick Stahl
Terminator 3: Rise of the Machines,M.C. Gainey
Terminator 3: Rise of the Machines,Carolyn Hennesy
Guardians of the Galaxy,Bradley Cooper
Guardians of the Galaxy,Vin Diesel
Guardians of the Galaxy,Djimon Hounsou
Interstellar,Matthew McConaughey
Interstellar,Anne Hathaway
Interstellar,Mackenzie Foy
Inception,Leonardo DiCaprio
Inception,Tom Hardy
Inception,Joseph Gordon-Levitt
The Hobbit: An Unexpected Journey,Aidan Turner
The Hobbit: An Unexpected Journey,Adam Brown
The Hobbit: An Unexpected Journey,James Nesbitt
