movie_title,actor_name
My Favorite Martian,Ray Walston
My Favorite Martian,Michael Lerner
The Sentinel,Blair Brown
The Sentinel,David Rasche
The Sentinel,Martin Donovan
Planet 51,Dwayne Johnson
Planet 51,Gary Oldman
Planet 51,James Corden
Star Trek: Nemesis,Tom Hardy
Star Trek: Nemesis,LeVar Burton
Star Trek: Nemesis,Jonathan Frakes
Intolerable Cruelty,Cedric the Entertainer
Intolerable Cruelty,Paul Adelstein
Intolerable Cruelty,Julia Duffy
Trouble with the Curve,Clint Eastwood
Trouble with the Curve,Ed Lauter
Trouble with the Curve,Bob Gunton
Edge of Darkness,Bojana Novakovic
Edge of Darkness,Ray Winstone
Edge of Darkness,Denis O'Hare
The Relic,John Kapelos
The Relic,Penelope Ann Miller
The Relic,Chi Muoi Lo
Analyze That,Robert De Niro
Analyze That,Cathy Moriarty
Analyze That,Joe Viterelli
Righteous Kill,Robert De Niro
Righteous Kill,Al Pacino
Righteous Kill,50 Cent
Mercury Rising,Bruce Willis
Mercury Rising,Miko Hughes
Mercury Rising,Carrie Preston
The Soloist,Robert Downey Jr.
The Soloist,Stephen Root
The Soloist,Rachael Harris
The Legend of Bagger Vance,Matt Damon
The Legend of Bagger Vance,Will Smith
The Legend of Bagger Vance,Charlize Theron
Almost Famous,Philip Seymour Hoffman
Almost Famous,Zooey Deschanel
Almost Famous,Michael Angarano
Garfield 2,Bill Murray
Garfield 2,Roger Rees
Garfield 2,Ben Falcone
xXx: State of the Union,Sunny Mabrey
xXx: State of the Union,Nona Gaye
xXx: State of the Union,Xzibit
Priest,Josh Wingate
Priest,Alan Dale
Priest,Jacob Hopkins
Sinbad: Legend of the Seven Seas,Brad Pitt
Sinbad: Legend of the Seven Seas,Adriano Giannini
Sinbad: Legend of the Seven Seas,Timothy West
Event Horizon,Sean Pertwee
Event Horizon,Joely Richardson
Event Horizon,Kathleen Quinlan
Dragonfly,Joe Morton
Dragonfly,Susanna Thompson
Dragonfly,Matt Craven
The Black Dahlia,Scarlett Johansson
The Black Dahlia,Mia Kirshner
The Black Dahlia,Mike Starr
Flyboys,James Franco
Flyboys,Tyler Labine
Flyboys,Philip Winchester
The Last Castle,Clifton Collins Jr.
The Last Castle,Delroy Lindo
The Last Castle,Michael Irby
Supernova,Robert Forster
Supernova,Wilson Cruz
Supernova,Vanessa Marshall
Winter's Tale,Matt Bomer
Winter's Tale,William Hurt
Winter's Tale,Kevin Corrigan
The Mortal Instruments: City of Bones,Aidan Turner
The Mortal Instruments: City of Bones,Kevin Zegers
The Mortal Instruments: City of Bones,CCH Pounder
Meet Dave,Marc Blucas
Meet Dave,Mike O'Malley
Meet Dave,Shawn Christian
Dark Water,Dougray Scott
Dark Water,Camryn Manheim
Dark Water,Ariel Gade
Edtv,Matthew McConaughey
Edtv,Adam Goldberg
Edtv,Clint Howard
Inkheart,Brendan Fraser
Inkheart,Stephen Graham
Inkheart,Jamie Foreman
The Spirit,Scarlett Johansson
The Spirit,Jaime King
The Spirit,Louis Lombardi
Mortdecai,Johnny Depp
Mortdecai,Olivia Munn
Mortdecai,Ulrich Thomsen
In the Name of the King: A Dungeon Siege Tale,Jason Statham
In the Name of the King: A Dungeon Siege Tale,Mike Dopud
In the Name of the King: A Dungeon Siege Tale,Tania Saulnier
Beyond Borders,Angelina Jolie Pitt
Beyond Borders,Teri Polo
Beyond Borders,Noah Emmerich
The Great Raid,James Franco
The Great Raid,Clayne Crawford
The Great Raid,Paolo Montalban
Deadpool,Ryan Reynolds
Deadpool,Ed Skrein
Deadpool,Stefan Kapicic
Holy Man,Kelly Preston
Holy Man,Morgan Fairchild
Holy Man,Eric McCormack
American Sniper,Bradley Cooper
American Sniper,Leonard Roberts
American Sniper,Keir O'Donnell
Goosebumps,Odeya Rush
Goosebumps,Dylan Minnette
Goosebumps,Ken Marino
Just Like Heaven,Jon Heder
Just Like Heaven,Ivana Milicevic
Just Like Heaven,Willie Garson
The Flintstones in Viva Rock Vegas,Taylor Negron
The Flintstones in Viva Rock Vegas,Mark Addy
The Flintstones in Viva Rock Vegas,Danny Woodburn
Rambo III,Sylvester Stallone
Rambo III,Kurtwood Smith
Rambo III,Richard Crenna
Leatherheads,Robert Baker
Leatherheads,Malcolm Goodwin
Leatherheads,Matt Bushell
The Ridiculous 6,Taylor Lautner
The Ridiculous 6,Adam Sandler
The Ridiculous 6,Jon Lovitz
Did You Hear About the Morgans?,Michael Kelly
Did You Hear About the Morgans?,Kim Shaw
Did You Hear About the Morgans?,Kevin Brown
The Internship,Josh Gad
The Internship,Jessica Szohr
The Internship,Rob Riggle
Resident Evil: Afterlife,Milla Jovovich
Resident Evil: Afterlife,Boris Kodjoe
Resident Evil: Afterlife,Shawn Roberts
Red Tails,David Oyelowo
Red Tails,Nate Parker
Red Tails,Tristan Mack Wilds
The Devil's Advocate,Keanu Reeves
The Devil's Advocate,Al Pacino
The Devil's Advocate,Charlize Theron
That's My Boy,Adam Sandler
That's My Boy,Leighton Meester
That's My Boy,Will Forte
DragonHeart,Dennis Quaid
DragonHeart,Brian Thompson
DragonHeart,Terry O'Neill
After the Sunset,Salma Hayek
After the Sunset,Don Cheadle
After the Sunset,Chris Penn
Ghost Rider: Spirit of Vengeance,Nicolas Cage
Ghost Rider: Spirit of Vengeance,Spencer Wilding
Ghost Rider: Spirit of Vengeance,Christopher Lambert
Captain Corelli's Mandolin,Christian Bale
Captain Corelli's Mandolin,Irene Papas
Captain Corelli's Mandolin,Mihalis Giannatos
The Pacifier,Vin Diesel
The Pacifier,Brad Garrett
The Pacifier,Tate Donovan
Walking Tall,Dwayne Johnson
Walking Tall,Ashley Scott
Walking Tall,Michael Bowen
Forrest Gump,Tom Hanks
Forrest Gump,Siobhan Fallon Hogan
Forrest Gump,Sam Anderson
Alvin and the Chipmunks,Jesse McCartney
Alvin and the Chipmunks,Beth Riesgraf
Alvin and the Chipmunks,Matthew Gray Gubler
Meet the Parents,Robert De Niro
Meet the Parents,Blythe Danner
Meet the Parents,Teri Polo
Pocahontas,Christian Bale
Pocahontas,Frank Welker
Pocahontas,Irene Bedard
Superman,Marlon Brando
Superman,Margot Kidder
Superman,Ned Beatty
The Nutty Professor,Jada Pinkett Smith
The Nutty Professor,James Coburn
The Nutty Professor,Dave Chappelle
Hitch,Will Smith
Hitch,Michael Rapaport
Hitch,Kevin Sussman
George of the Jungle,Brendan Fraser
George of the Jungle,Abraham Benrubi
George of the Jungle,Holland Taylor
American Wedding,Alyson Hannigan
American Wedding,Thomas Ian Nicholas
American Wedding,Fred Willard
Captain Phillips,Tom Hanks
Captain Phillips,Chris Mulkey
Captain Phillips,Michael Chernus
Date Night,Mila Kunis
Date Night,James Franco
Date Night,Steve Carell
Casper,Eric Idle
Casper,Fred Rogers
Casper,Cathy Moriarty
The Equalizer,Denzel Washington
The Equalizer,Chloë Grace Moretz
The Equalizer,James Wilcox
Maid in Manhattan,Bob Hoskins
Maid in Manhattan,Frances Conroy
Maid in Manhattan,Natasha Richardson
Crimson Tide,Denzel Washington
Crimson Tide,Viggo Mortensen
Crimson Tide,Ricky Schroder
The Pursuit of Happyness,Will Smith
The Pursuit of Happyness,Kurt Fuller
The Pursuit of Happyness,James Karen
Flightplan,Erika Christensen
Flightplan,Michael Irby
Flightplan,Haley Ramm
Disclosure,Demi Moore
Disclosure,Dylan Baker
Disclosure,Roma Maffia
City of Angels,Nicolas Cage
City of Angels,Andre Braugher
City of Angels,Colm Feore
Kill Bill: Vol. 1,David Carradine
Kill Bill: Vol. 1,Vivica A. Fox
Kill Bill: Vol. 1,Chiaki Kuriyama
Bowfinger,Robert Downey Jr.
Bowfinger,Adam Alexi-Malle
Bowfinger,Jamie Kennedy
Kill Bill: Vol. 2,Vivica A. Fox
Kill Bill: Vol. 2,Michael Parks
Kill Bill: Vol. 2,Michael Bowen
Tango & Cash,Sylvester Stallone
Tango & Cash,Jack Palance
Tango & Cash,Brion James
Death Becomes Her,Bruce Willis
Death Becomes Her,Meryl Streep
Death Becomes Her,Isabella Rossellini
Shanghai Noon,Xander Berkeley
Shanghai Noon,Jason Connery
Shanghai Noon,Kate Luyben
Executive Decision,Oliver Platt
Executive Decision,Joe Morton
Executive Decision,J.T. Walsh
Mr. Popper's Penguins,Madeline Carroll
Mr. Popper's Penguins,Ophelia Lovibond
Mr. Popper's Penguins,Philip Baker Hall
The Forbidden Kingdom,Jet Li
The Forbidden Kingdom,Thomas McDonell
The Forbidden Kingdom,Michael Angarano
Free Birds,Amy Poehler
Free Birds,Carlos Ponce
Free Birds,Dan Fogler
Alien 3,Charles S. Dutton
Alien 3,Holt McCallany
Alien 3,Paul McGann
Evita,Andrea Corr
Evita,Jimmy Nail
Evita,Peter Polycarpou
Ronin,Robert De Niro
Ronin,Natascha McElhone
Ronin,Michael Lonsdale
The Ghost and the Darkness,Tom Wilkinson
The Ghost and the Darkness,Bernard Hill
The Ghost and the Darkness,Om Puri
Paddington,Julie Walters
Paddington,Matt Lucas
Paddington,Sally Hawkins
The Watch,Will Forte
The Watch,Nicholas Braun
The Watch,Rosemarie DeWitt
The Hunted,Connie Nielsen
The Hunted,Jenna Boyd
The Hunted,Rex Linn
Instinct,Anthony Hopkins
Instinct,Maura Tierney
Instinct,John Ashton
Stuck on You,Matt Damon
Stuck on You,Terence Bernie Hines
Stuck on You,Seymour Cassel
Semi-Pro,Will Ferrell
Semi-Pro,Maura Tierney
Semi-Pro,Matt Walsh
The Pirates! Band of Misfits,Salma Hayek
The Pirates! Band of Misfits,Russell Tovey
The Pirates! Band of Misfits,Brian Blessed
Changeling,Angelina Jolie Pitt
Changeling,Michael Kelly
Changeling,Colm Feore
Chain Reaction,Keanu Reeves
Chain Reaction,Morgan Freeman
Chain Reaction,Kevin Dunn
The Fan,Robert De Niro
The Fan,Kurt Fuller
The Fan,Ellen Barkin
The Phantom of the Opera,Gerard Butler
The Phantom of the Opera,Minnie Driver
The Phantom of the Opera,Miranda Richardson
Elizabeth: The Golden Age,Eddie Redmayne
Elizabeth: The Golden Age,Abbie Cornish
Elizabeth: The Golden Age,Jordi Mollà
Æon Flux,Charlize Theron
Æon Flux,Sophie Okonedo
Æon Flux,Paterson Joseph
Gods and Generals,Billy Campbell
Gods and Generals,Bruce Boxleitner
Gods and Generals,John Castle
Turbulence,Hector Elizondo
Turbulence,Lauren Holly
Turbulence,Jeffrey DeMunn
Imagine That,Stephen Root
Imagine That,Ronny Cox
Imagine That,Richard Schiff
Muppets Most Wanted,Ty Burrell
Muppets Most Wanted,Tina Fey
Muppets Most Wanted,Hugh Bonneville
Thunderbirds,Sophia Myles
Thunderbirds,Philip Winchester
Thunderbirds,Brady Corbet
Burlesque,Eric Dane
Burlesque,Peter Gallagher
Burlesque,David Walton
A Very Long Engagement,Denis Lavant
A Very Long Engagement,André Dussollier
A Very Long Engagement,Albert Dupontel
Lolita,James Mason
Lolita,Shelley Winters
Lolita,Lois Maxwell
Eye See You,Sylvester Stallone
Eye See You,Tom Berenger
Eye See You,Charles S. Dutton
Blade II,Norman Reedus
Blade II,Thomas Kretschmann
Blade II,Tony Curran
Seven Pounds,Will Smith
Seven Pounds,Rosario Dawson
Seven Pounds,Madison Pettis
Bullet to the Head,Sylvester Stallone
Bullet to the Head,Jason Momoa
Bullet to the Head,Jon Seda
The Godfather: Part III,Al Pacino
The Godfather: Part III,Joe Mantegna
The Godfather: Part III,Bridget Fonda
Elizabethtown,Orlando Bloom
Elizabethtown,Kirsten Dunst
Elizabethtown,Judy Greer
"You, Me and Dupree",Todd Stashwick
"You, Me and Dupree",Billy Gardell
"You, Me and Dupree",Amanda Detmer
Superman II,Margot Kidder
Superman II,Ned Beatty
Superman II,Jackie Cooper
Gigli,Todd Giebenhain
Gigli,Lenny Venito
Gigli,David Backus
All the King's Men,Kate Winslet
All the King's Men,Anthony Hopkins
All the King's Men,Kevin Dunn
Shaft,Christian Bale
Shaft,Vanessa Williams
Shaft,Daniel von Bargen
Anastasia,Kirsten Dunst
Anastasia,Kelsey Grammer
Anastasia,Bernadette Peters
Moulin Rouge!,Jim Broadbent
Moulin Rouge!,Kylie Minogue
Moulin Rouge!,Richard Roxburgh
Domestic Disturbance,Steve Buscemi
Domestic Disturbance,Teri Polo
Domestic Disturbance,Matt O'Leary
Black Mass,Johnny Depp
Black Mass,Benedict Cumberbatch
Black Mass,Adam Scott
Flags of Our Fathers,Paul Walker
Flags of Our Fathers,Chris Bauer
Flags of Our Fathers,Tom McCarthy
Law Abiding Citizen,Gerard Butler
Law Abiding Citizen,Leslie Bibb
Law Abiding Citizen,Michael Kelly
Grindhouse,Quentin Tarantino
Grindhouse,Rosario Dawson
Grindhouse,Zoë Bell
Beloved,Oprah Winfrey
Beloved,Kimberly Elise
Beloved,Hill Harper
Lucky You,Robert Downey Jr.
Lucky You,Robert Duvall
Lucky You,Kelvin Han Yee
Catch Me If You Can,Leonardo DiCaprio
Catch Me If You Can,Tom Hanks
Catch Me If You Can,Jennifer Garner
Zero Dark Thirty,Jennifer Ehle
Zero Dark Thirty,Harold Perrineau
Zero Dark Thirty,Parker Sawyers
The Break-Up,Jon Favreau
The Break-Up,John Michael Higgins
The Break-Up,Ann-Margret
Mamma Mia!,Colin Firth
Mamma Mia!,Meryl Streep
Mamma Mia!,Julie Walters
Valentine's Day,Bradley Cooper
Valentine's Day,Taylor Lautner
Valentine's Day,Anne Hathaway
The Dukes of Hazzard,Alice Greczyn
The Dukes of Hazzard,Jessica Simpson
The Dukes of Hazzard,Michael Weston
The Thin Red Line,Nick Stahl
The Thin Red Line,Miranda Otto
The Thin Red Line,Dash Mihok
The Change-Up,Ryan Reynolds
The Change-Up,Olivia Wilde
The Change-Up,Mircea Monroe
Man on the Moon,Matt Price
Man on the Moon,Gerry Becker
Man on the Moon,Tom Dreesen
Casino,Robert De Niro
Casino,Don Rickles
Casino,Kevin Pollak
From Paris with Love,Kasia Smutniak
From Paris with Love,Amber Rose Revah
From Paris with Love,Rebecca Dayan
Bulletproof Monk,Jaime King
Bulletproof Monk,Mako
Bulletproof Monk,Victoria Smurfit
"Me, Myself & Irene",Robert Forster
"Me, Myself & Irene",Tony Cox
"Me, Myself & Irene",Rob Moran
Barnyard,Rob Paulsen
Barnyard,Wanda Sykes
Barnyard,Maurice LaMarche
Deck the Halls,Matthew Broderick
Deck the Halls,Jorge Garcia
Deck the Halls,Alia Shawkat
The Twilight Saga: New Moon,Robert Pattinson
The Twilight Saga: New Moon,Kristen Stewart
The Twilight Saga: New Moon,Taylor Lautner
Shrek,Kathleen Freeman
Shrek,Chris Miller
Shrek,Bobby Block
The Adjustment Bureau,Matt Damon
The Adjustment Bureau,Michael Kelly
The Adjustment Bureau,Jon Stewart
Robin Hood: Prince of Thieves,Alan Rickman
Robin Hood: Prince of Thieves,Morgan Freeman
Robin Hood: Prince of Thieves,Michael Wincott
Jerry Maguire,Tom Cruise
Jerry Maguire,Kelly Preston
Jerry Maguire,Bonnie Hunt
Ted,Mila Kunis
Ted,Seth MacFarlane
Ted,Tom Skerritt
As Good as It Gets,Lupe Ontiveros
As Good as It Gets,Yeardley Smith
As Good as It Gets,Shirley Knight
Patch Adams,Robin Williams
Patch Adams,Philip Seymour Hoffman
Patch Adams,Monica Potter
Anchorman 2: The Legend Continues,Harrison Ford
Anchorman 2: The Legend Continues,Will Ferrell
Anchorman 2: The Legend Continues,Steve Carell
Mr. Deeds,Steve Buscemi
Mr. Deeds,Adam Sandler
Mr. Deeds,Peter Gallagher
Super 8,Joel Courtney
Super 8,AJ Michalka
Super 8,Zach Mills
Erin Brockovich,Julia Roberts
Erin Brockovich,Albert Finney
Erin Brockovich,Conchata Ferrell
How to Lose a Guy in 10 Days,Matthew McConaughey
How to Lose a Guy in 10 Days,Adam Goldberg
How to Lose a Guy in 10 Days,Thomas Lennon
22 Jump Street,Channing Tatum
22 Jump Street,Craig Roberts
22 Jump Street,Amber Stevens West
Interview with the Vampire: The Vampire Chronicles,Brad Pitt
Interview with the Vampire: The Vampire Chronicles,Tom Cruise
Interview with the Vampire: The Vampire Chronicles,Kirsten Dunst
Yes Man,Bradley Cooper
Yes Man,Zooey Deschanel
Yes Man,Danny Masterson
Central Intelligence,Dwayne Johnson
Central Intelligence,Thomas Kretschmann
Central Intelligence,Megan Park
Stepmom,Julia Roberts
Stepmom,Liam Aiken
Stepmom,Herbert Russell
Daddy's Home,Will Ferrell
Daddy's Home,Linda Cardellini
Daddy's Home,Mark L. Young
Into the Woods,Johnny Depp
Into the Woods,Meryl Streep
Into the Woods,Anna Kendrick
Inside Man,Denzel Washington
Inside Man,James Ransone
Inside Man,Peter Gerety
Payback,Bill Duke
Payback,Deborah Kara Unger
Payback,William Devane
Congo,Dylan Walsh
Congo,Joe Don Baker
Congo,Grant Heslov
We Bought a Zoo,Scarlett Johansson
We Bought a Zoo,Matt Damon
We Bought a Zoo,Stephanie Szostak
Knowing,Nicolas Cage
Knowing,Ben Mendelsohn
Knowing,Chandler Canterbury
Failure to Launch,Bradley Cooper
Failure to Launch,Matthew McConaughey
Failure to Launch,Zooey Deschanel
The Ring Two,Naomi Watts
The Ring Two,Gary Cole
The Ring Two,Sissy Spacek
"Crazy, Stupid, Love.",Ryan Gosling
"Crazy, Stupid, Love.",Emma Stone
"Crazy, Stupid, Love.",Steve Carell
Garfield,Bill Murray
Garfield,Mark Christopher Lawrence
Garfield,Michael Monks
Christmas with the Kranks,Jamie Lee Curtis
Christmas with the Kranks,Cheech Marin
Christmas with the Kranks,Jake Busey
Moneyball,Philip Seymour Hoffman
Moneyball,Robin Wright
Moneyball,Brad Pitt
Outbreak,Kevin Spacey
Outbreak,Morgan Freeman
Outbreak,Rene Russo
Non-Stop,Liam Neeson
Non-Stop,Nate Parker
Non-Stop,Scoot McNairy
Race to Witch Mountain,Dwayne Johnson
Race to Witch Mountain,Billy Brown
Race to Witch Mountain,Tom Everett Scott
V for Vendetta,Natalie Portman
V for Vendetta,Eddie Marsan
V for Vendetta,Rupert Graves
Shanghai Knights,Fann Wong
Shanghai Knights,Anna-Louise Plowman
Shanghai Knights,Georgina Chapman
Curious George,Will Ferrell
Curious George,Frank Welker
Curious George,Alexander Gould
Herbie Fully Loaded,Scoot McNairy
Herbie Fully Loaded,Thomas Lennon
Herbie Fully Loaded,Cheryl Hines
Don't Say a Word,Oliver Platt
Don't Say a Word,Jennifer Esposito
Don't Say a Word,Conrad Goode
Hansel & Gretel: Witch Hunters,Jeremy Renner
Hansel & Gretel: Witch Hunters,Derek Mears
Hansel & Gretel: Witch Hunters,Ingrid Bolsø Berdal
Unfaithful,Olivier Martinez
Unfaithful,Erik Per Sullivan
Unfaithful,Chad Lowe
I Am Number Four,Alex Pettyfer
I Am Number Four,Emily Wickersham
I Am Number Four,Reuben Langdon
Syriana,Matt Damon
Syriana,Amr Waked
Syriana,Kayvan Novak
13 Hours,Toby Stephens
13 Hours,James Badge Dale
13 Hours,David Costabile
The Book of Life,Channing Tatum
The Book of Life,Hector Elizondo
The Book of Life,Ana de la Reguera
Firewall,Jimmy Bennett
Firewall,Harrison Ford
Firewall,Mary Lynn Rajskub
Absolute Power,Clint Eastwood
Absolute Power,Mark Margolis
Absolute Power,Scott Glenn
G.I. Jane,Viggo Mortensen
G.I. Jane,Demi Moore
G.I. Jane,John Michael Higgins
The Game,Deborah Kara Unger
The Game,Armin Mueller-Stahl
The Game,Charles Martinet
Silent Hill,Radha Mitchell
Silent Hill,Deborah Kara Unger
Silent Hill,Alice Krige
The Replacements,Keanu Reeves
The Replacements,Jon Favreau
The Replacements,Faizon Love
American Reunion,Alyson Hannigan
American Reunion,Dania Ramirez
American Reunion,Natasha Lyonne
The Negotiator,Kevin Spacey
The Negotiator,Michael Cudlitz
The Negotiator,Siobhan Fallon Hogan
Into the Storm,Matt Walsh
Into the Storm,Alycia Debnam-Carey
Into the Storm,Scott Lawrence
Beverly Hills Cop III,Louis Lombardi
Beverly Hills Cop III,Jon Tenney
Beverly Hills Cop III,Gilbert R. Hill
Gremlins 2: The New Batch,Christopher Lee
Gremlins 2: The New Batch,Robert Picardo
Gremlins 2: The New Batch,Phoebe Cates
The Judge,Robert Downey Jr.
The Judge,Robert Duvall
The Judge,Leighton Meester
The Peacemaker,Armin Mueller-Stahl
The Peacemaker,Holt McCallany
The Peacemaker,Marcel Iures
Resident Evil: Apocalypse,Milla Jovovich
Resident Evil: Apocalypse,Thomas Kretschmann
Resident Evil: Apocalypse,Mike Epps
Bridget Jones: The Edge of Reason,Colin Firth
Bridget Jones: The Edge of Reason,Jim Broadbent
Bridget Jones: The Edge of Reason,Celia Imrie
Out of Time,Denzel Washington
Out of Time,Sanaa Lathan
Out of Time,John Billingsley
On Deadly Ground,Mike Starr
On Deadly Ground,Joan Chen
On Deadly Ground,Sven-Ole Thorsen
The Adventures of Sharkboy and Lavagirl 3-D,Taylor Lautner
The Adventures of Sharkboy and Lavagirl 3-D,Kristin Davis
The Adventures of Sharkboy and Lavagirl 3-D,Taylor Dooley
The Beach,Leonardo DiCaprio
The Beach,Virginie Ledoyen
The Beach,Peter Youngblood Hills
Raising Helen,Amber Valletta
Raising Helen,Felicity Huffman
Raising Helen,Spencer Breslin
Ninja Assassin,Shô Kosugi
Ninja Assassin,Ben Miles
Ninja Assassin,Rain
For Love of the Game,J.K. Simmons
For Love of the Game,Kelly Preston
For Love of the Game,Carmine Giovinazzo
Striptease,Demi Moore
Striptease,Rumer Willis
Striptease,Paul Guilfoyle
Marmaduke,Emma Stone
Marmaduke,Judy Greer
Marmaduke,Steve Coogan
Hereafter,Matt Damon
Hereafter,Jay Mohr
Hereafter,Cécile De France
Murder by Numbers,Ryan Gosling
Murder by Numbers,Chris Penn
Murder by Numbers,Agnes Bruckner
Assassins,Muse Watson
Assassins,Sylvester Stallone
Assassins,Kelly Rowan
Hannibal Rising,Li Gong
Hannibal Rising,Stephen Walters
Hannibal Rising,Richard Brake
The Story of Us,Bruce Willis
The Story of Us,Tim Matheson
The Story of Us,Rita Wilson
The Host(2013),J.D. Evermore
The Host(2013),Chandler Canterbury
The Host(2013),Rachel Roberts
Basic,Connie Nielsen
Basic,Harry Connick Jr.
Basic,Tim Daly
Blood Work,Clint Eastwood
Blood Work,Anjelica Huston
Blood Work,Rick Hoffman
The International,Naomi Watts
The International,Brían F. O'Byrne
The International,Armin Mueller-Stahl
Escape from L.A.,Steve Buscemi
Escape from L.A.,Valeria Golino
Escape from L.A.,Michelle Forbes
The Iron Giant,Vin Diesel
The Iron Giant,Harry Connick Jr.
The Iron Giant,M. Emmet Walsh
The Life Aquatic with Steve Zissou,Bill Murray
The Life Aquatic with Steve Zissou,Anjelica Huston
The Life Aquatic with Steve Zissou,Matthew Gray Gubler
Free State of Jones,Matthew McConaughey
Free State of Jones,Donald Watkins
Free State of Jones,Jessica Collins
The Life of David Gale,Kevin Spacey
The Life of David Gale,Kate Winslet
The Life of David Gale,Matt Craven
Man of the House,Christina Milian
Man of the House,Vanessa Ferlito
Man of the House,Kelli Garner
Run All Night,Liam Neeson
Run All Night,Common
Run All Night,Bruce McGill
Eastern Promises,Viggo Mortensen
Eastern Promises,Naomi Watts
Eastern Promises,Raza Jaffrey
Into the Blue,Paul Walker
Into the Blue,James Frain
Into the Blue,Ashley Scott
The Messenger: The Story of Joan of Arc,Paul Brooke
The Messenger: The Story of Joan of Arc,David Bailie
The Messenger: The Story of Joan of Arc,Rab Affleck
Your Highness,Natalie Portman
Your Highness,Zooey Deschanel
Your Highness,James Franco
Dream House,Naomi Watts
Dream House,Gregory Smith
Dream House,Sarah Gadon
Mad City,Mia Kirshner
Mad City,Blythe Danner
Mad City,William Atherton
Baby's Day Out,Joe Mantegna
Baby's Day Out,Lara Flynn Boyle
Baby's Day Out,Cynthia Nixon
The Scarlet Letter,Gary Oldman
The Scarlet Letter,Robert Duvall
The Scarlet Letter,Demi Moore
Fair Game,Naomi Watts
Fair Game,Ty Burrell
Fair Game,Brooke Smith
Domino,Ian Ziering
Domino,Mo'Nique
Domino,Edgar Ramírez
Jade,Michael Biehn
Jade,Chazz Palminteri
Jade,Linda Fiorentino
Gamer,Gerard Butler
Gamer,Logan Lerman
Gamer,Alison Lohman
Beautiful Creatures,Alden Ehrenreich
Beautiful Creatures,Zoey Deutch
Beautiful Creatures,Pruitt Taylor Vince
Death to Smoochy,Robin Williams
Death to Smoochy,Vincent Schiavelli
Death to Smoochy,Danny Woodburn
Zoolander 2,Milla Jovovich
Zoolander 2,Will Ferrell
Zoolander 2,Justin Theroux
The Big Bounce,Morgan Freeman
The Big Bounce,Andrew Wilson
The Big Bounce,Willie Nelson
What Planet Are You From?,Judy Greer
What Planet Are You From?,Linda Fiorentino
What Planet Are You From?,Garry Shandling
Drive Angry,Nicolas Cage
Drive Angry,Billy Burke
Drive Angry,Katy Mixon
Street Fighter: The Legend of Chun-Li,Chris Klein
Street Fighter: The Legend of Chun-Li,Robin Shou
Street Fighter: The Legend of Chun-Li,Josie Ho
The One,Jason Statham
The One,Jet Li
The One,Delroy Lindo
The Adventures of Ford Fairlane,Lauren Holly
The Adventures of Ford Fairlane,Gilbert Gottfried
The Adventures of Ford Fairlane,David Patrick Kelly
Pirate Radio,Philip Seymour Hoffman
Pirate Radio,Charlie Rowe
Pirate Radio,Tom Sturridge
Traffic,Michael O'Neill
Traffic,Jacob Vargas
Traffic,James Lew
Indiana Jones and the Last Crusade,Harrison Ford
Indiana Jones and the Last Crusade,Julian Glover
Indiana Jones and the Last Crusade,Alison Doody
Anna Karenina,Kelly Macdonald
Anna Karenina,Guro Nagelhus Schia
Anna Karenina,Matthew Macfadyen
Chappie,Hugh Jackman
Chappie,Sharlto Copley
Chappie,Jose Pablo Cantillo
The Bone Collector,Denzel Washington
The Bone Collector,Angelina Jolie Pitt
The Bone Collector,Leland Orser
Panic Room,Kristen Stewart
Panic Room,Dwight Yoakam
Panic Room,Mel Rodriguez
Three Kings,Judy Greer
Three Kings,Jamie Kennedy
Three Kings,Mykelti Williamson
Child 44,Tom Hardy
Child 44,Fares Fares
Child 44,Michael Nardone
Rat Race,Corinna Harney
Rat Race,Douglas Haase
Rat Race,Vince Vieluf
K-PAX,Kevin Spacey
K-PAX,Jeff Bridges
K-PAX,Alfre Woodard
Kate & Leopold,Hugh Jackman
Kate & Leopold,Natasha Lyonne
Kate & Leopold,Bradley Whitford
Bedazzled,Brendan Fraser
Bedazzled,Frances O'Connor
Bedazzled,Brian Doyle-Murray
The Cotton Club,Nicolas Cage
The Cotton Club,Bob Hoskins
The Cotton Club,Fred Gwynne
3:10 to Yuma,Christian Bale
3:10 to Yuma,Logan Lerman
3:10 to Yuma,Gretchen Mol
Taken 3,Liam Neeson
Taken 3,Dougray Scott
Taken 3,Jon Gries
Out of Sight,Don Cheadle
Out of Sight,Albert Brooks
Out of Sight,Keith Hudson
The Cable Guy,Matthew Broderick
The Cable Guy,Janeane Garofalo
The Cable Guy,Andy Dick
Earth,Nandita Das
Earth,Gulshan Grover
Earth,Eric Peterson
Dick Tracy,Charlie Korsmo
Dick Tracy,Warren Beatty
Dick Tracy,Seymour Cassel
The Thomas Crown Affair,Mark Margolis
The Thomas Crown Affair,Faye Dunaway
The Thomas Crown Affair,Denis Leary
Riding in Cars with Boys,Rosie Perez
Riding in Cars with Boys,Adam Garcia
Riding in Cars with Boys,Alissa Dean
First Blood,Sylvester Stallone
First Blood,Brian Dennehy
First Blood,Chris Mulkey
Solaris,Donatas Banionis
Solaris,Anatoliy Solonitsyn
Solaris,Natalya Bondarchuk
Happily N'Ever After,Sarah Michelle Gellar
Happily N'Ever After,George Carlin
Happily N'Ever After,Rob Paulsen
Mary Reilly,Julia Roberts
Mary Reilly,Bronagh Gallagher
Mary Reilly,George Cole
My Best Friend's Wedding,Julia Roberts
