movie_title,title_year,language,country,duration,content_rating,movie_imdb_link,director_name,imdb_score,num_voted_users,gross
Spider-Man 2,2004,English,USA,135.0,PG-13,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,Sam Raimi,7.3,411164,373377893.0
Iron Man 3,2013,English,USA,195.0,PG-13,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,Shane Black,7.2,557489,408992272.0
Alice in Wonderland,2010,English,USA,108.0,PG,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,Tim Burton,6.5,306320,334185206.0
X-Men: The Last Stand,2006,English,Canada,104.0,PG-13,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,Brett Ratner,6.8,383427,234360014.0
Monsters University,2013,English,USA,104.0,G,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,Dan Scanlon,7.3,235025,268488329.0
Transformers: Revenge of the Fallen,2009,English,USA,150.0,PG-13,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,Michael Bay,6.0,323207,402076689.0
Transformers: Age of Extinction,2014,English,USA,165.0,PG-13,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,Michael Bay,5.7,242420,245428137.0
Oz the Great and Powerful,2013,English,USA,130.0,PG,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,Sam Raimi,6.4,175409,234903076.0
The Amazing Spider-Man 2,2014,English,USA,142.0,PG-13,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,Marc Webb,6.7,321227,202853933.0
TRON: Legacy,2010,English,USA,125.0,PG,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,Joseph Kosinski,6.8,264183,172051787.0
Cars 2,2011,English,USA,106.0,G,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,John Lasseter,6.3,101178,191450875.0
Green Lantern,2011,English,USA,123.0,PG-13,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,Martin Campbell,5.6,223393,116593191.0
Toy Story 3,2010,English,USA,103.0,G,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,Lee Unkrich,8.3,544884,414984497.0
Terminator Salvation,2009,English,USA,118.0,PG-13,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,McG,6.6,286095,125320003.0
Furious 7,2015,English,USA,140.0,PG-13,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,James Wan,7.2,278232,350034110.0
World War Z,2013,English,USA,123.0,PG-13,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,Marc Forster,7.0,465019,202351611.0
X-Men: Days of Future Past,2014,English,USA,149.0,PG-13,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,Bryan Singer,8.0,514125,233914986.0
Star Trek Into Darkness,2013,English,USA,132.0,PG-13,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,J.J. Abrams,7.8,395573,228756232.0
Jack the Giant Slayer,2013,English,USA,114.0,PG-13,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,Bryan Singer,6.3,106416,65171860.0
